Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
World,152804036,8630.0,3206479.0,362.0,130737443,10792.0,18860114,111938.0,411.4,,,,2021-05-02 03:24:00+00:00
USA,33146008,,590704.0,,25777927,,6777377,9543.0,1776.0,447732682.0,1346092.0,332616743.0,2021-05-02 03:24:00+00:00
India,19549656,,215523.0,,15981772,,3352361,8944.0,155.0,288337385.0,207247.0,1391271798.0,2021-05-02 03:24:00+00:00
Brazil,14725975,,406565.0,,13242665,,1076745,8318.0,1901.0,43818216.0,204935.0,213815388.0,2021-05-02 03:24:00+00:00
France,5642359,,104706.0,,4590376,,947277,5581.0,1601.0,76301950.0,1166808.0,65393762.0,2021-05-02 03:24:00+00:00
Turkey,4849408,,40504.0,,4405199,,403705,3525.0,476.0,47504193.0,558265.0,85092490.0,2021-05-02 03:24:00+00:00
Russia,4814558,,110520.0,,4436583,,267455,2300.0,757.0,129500000.0,887068.0,145986588.0,2021-05-02 03:24:00+00:00
UK,4418530,,127524.0,,4218172,,72834,185.0,1870.0,156302824.0,2292415.0,68182618.0,2021-05-02 03:24:00+00:00
Italy,4035617,,121033.0,,3484042,,430542,2522.0,2004.0,58957954.0,976323.0,60387724.0,2021-05-02 03:24:00+00:00
Spain,3524077,,78216.0,,3206273,,239588,2308.0,1672.0,46199597.0,987807.0,46769864.0,2021-05-02 03:24:00+00:00
Germany,3412373,,83702.0,,3012100,,316571,5049.0,996.0,55490413.0,660546.0,84006917.0,2021-05-02 03:24:00+00:00
Argentina,2993865,,64096.0,,2655359,,274410,5370.0,1407.0,11209847.0,246152.0,45540268.0,2021-05-02 03:24:00+00:00
Colombia,2877746,,74215.0,,2686399,,117132,6006.0,1446.0,14888382.0,290034.0,51333154.0,2021-05-02 03:24:00+00:00
Poland,2798617,,67924.0,,2510858,,219835,2723.0,1796.0,14321250.0,378748.0,37812066.0,2021-05-02 03:24:00+00:00
Iran,2516157,,72090.0,,1971064,,473003,5421.0,849.0,15961178.0,188033.0,84884809.0,2021-05-02 03:24:00+00:00
Mexico,2347780,3025.0,217168.0,261.0,1867191,2277.0,263421,4798.0,1670.0,6650124.0,51132.0,130057448.0,2021-05-02 03:24:00+00:00
Ukraine,2078086,,44436.0,,1670481,,363169,177.0,1021.0,9456234.0,217312.0,43514481.0,2021-05-02 03:24:00+00:00
Peru,1804915,,61789.0,,1688091,,55035,2667.0,1853.0,11225924.0,336582.0,33352726.0,2021-05-02 03:24:00+00:00
Indonesia,1672880,,45652.0,,1526978,,100250,,165.0,14703659.0,53289.0,275924964.0,2021-05-02 03:24:00+00:00
Czechia,1632932,,29316.0,,1555152,,48464,527.0,2733.0,18347631.0,1710651.0,10725523.0,2021-05-02 03:24:00+00:00
South Africa,1582842,,54406.0,,1506732,,21704,546.0,908.0,10682827.0,178258.0,59929069.0,2021-05-02 03:24:00+00:00
Netherlands,1502107,,17169.0,,1263274,,221664,792.0,1000.0,12274847.0,715049.0,17166437.0,2021-05-02 03:24:00+00:00
Canada,1227035,,24261.0,,1119279,,83495,1422.0,638.0,31629802.0,831989.0,38017069.0,2021-05-02 03:24:00+00:00
Chile,1204755,,26457.0,,1136816,,41482,3336.0,1374.0,13115985.0,681260.0,19252532.0,2021-05-02 03:24:00+00:00
Iraq,1070366,,15498.0,,949341,,105527,571.0,378.0,9376388.0,228868.0,40968539.0,2021-05-02 03:24:00+00:00
Romania,1056572,,28194.0,,992605,,35773,1277.0,1474.0,8273925.0,432498.0,19130567.0,2021-05-02 03:24:00+00:00
Philippines,1046653,,17354.0,,957051,,72248,750.0,157.0,11854425.0,106998.0,110790799.0,2021-05-02 03:24:00+00:00
Belgium,993434,3205.0,24258.0,28.0,858223,,110953,855.0,2086.0,12586507.0,1082097.0,11631588.0,2021-05-02 03:24:00+00:00
Sweden,973604,,14048.0,,806095,6978.0,153461,392.0,1384.0,8482276.0,835558.0,10151626.0,2021-05-02 03:24:00+00:00
Israel,838481,,6363.0,,830625,,1493,110.0,692.0,14200104.0,1543894.0,9197590.0,2021-05-02 03:24:00+00:00
Portugal,836947,,16976.0,,796477,,23494,84.0,1669.0,10515374.0,1033765.0,10171918.0,2021-05-02 03:24:00+00:00
Pakistan,825519,,17957.0,,717009,,90553,5490.0,80.0,11836866.0,52739.0,224441715.0,2021-05-02 03:24:00+00:00
Hungary,781299,,27701.0,,517026,,236572,621.0,2874.0,5394652.0,559617.0,9639899.0,2021-05-02 03:24:00+00:00
Bangladesh,760584,,11510.0,,684671,,64403,996.0,69.0,5484821.0,33031.0,166051909.0,2021-05-02 03:24:00+00:00
Jordan,712077,,8871.0,,685010,,18196,729.0,862.0,6714356.0,652687.0,10287249.0,2021-05-02 03:24:00+00:00
Serbia,690931,,6386.0,,638811,,45734,160.0,733.0,3847549.0,441840.0,8708015.0,2021-05-02 03:24:00+00:00
Switzerland,659974,,10633.0,,590565,,58776,238.0,1221.0,6911371.0,793751.0,8707229.0,2021-05-02 03:24:00+00:00
Austria,620485,,10233.0,,587115,,23137,484.0,1131.0,32228406.0,3561491.0,9049134.0,2021-05-02 03:24:00+00:00
