Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
World,153478525,678680.0,3216128.0,9940.0,131475914,738716.0,18786483,111785.0,412.6,,,,2021-05-03 01:01:00+00:00
USA,33180441,30701.0,591062.0,312.0,25823800,37191.0,6765579,9466.0,1777.0,448984680.0,1349834.0,332622037.0,2021-05-03 01:01:00+00:00
India,19919715,370059.0,218945.0,3422.0,16281738,299966.0,3419032,8944.0,157.0,290142339.0,208539.0,1391308838.0,2021-05-03 01:01:00+00:00
Brazil,14754910,28935.0,407775.0,1210.0,13278718,36053.0,1068417,8318.0,1907.0,43818216.0,204931.0,213819510.0,2021-05-03 01:01:00+00:00
France,5652247,9888.0,104819.0,113.0,4637053,46485.0,910375,5585.0,1603.0,76694164.0,1172798.0,65394155.0,2021-05-03 01:01:00+00:00
Turkey,4875388,25980.0,40844.0,340.0,4480381,75182.0,354163,3532.0,480.0,47744338.0,561071.0,85094968.0,2021-05-03 01:01:00+00:00
Russia,4823255,8697.0,110862.0,342.0,4443922,7339.0,268471,2300.0,759.0,129800000.0,889122.0,145986759.0,2021-05-03 01:01:00+00:00
UK,4420201,1671.0,127538.0,14.0,4221582,3410.0,71081,185.0,1871.0,156302824.0,2292382.0,68183590.0,2021-05-03 01:01:00+00:00
Italy,4044762,9148.0,121177.0,144.0,3492679,8637.0,430906,2524.0,2007.0,59114826.0,978925.0,60387482.0,2021-05-03 01:01:00+00:00
Spain,3524077,,78216.0,,3206273,,239588,2308.0,1672.0,46199597.0,987806.0,46769913.0,2021-05-03 01:01:00+00:00
Germany,3425598,13225.0,83826.0,124.0,3024600,12500.0,317172,5049.0,998.0,55490413.0,660540.0,84007647.0,2021-05-03 01:01:00+00:00
Argentina,3005259,11394.0,64252.0,156.0,2676197,20838.0,264810,5371.0,1411.0,11245454.0,246928.0,45541400.0,2021-05-03 01:01:00+00:00
Colombia,2893655,15909.0,74700.0,485.0,2700594,14195.0,118361,6006.0,1455.0,14944628.0,291122.0,51334635.0,2021-05-03 01:01:00+00:00
Poland,2803233,4612.0,68068.0,144.0,2520968,10110.0,214197,2652.0,1800.0,14428003.0,381573.0,37811953.0,2021-05-03 01:01:00+00:00
Iran,2534855,18698.0,72484.0,394.0,1988165,17101.0,474206,5443.0,854.0,16101399.0,189679.0,84887747.0,2021-05-03 01:01:00+00:00
Mexico,2347780,3025.0,217168.0,261.0,1867191,2277.0,263421,4798.0,1670.0,6650124.0,51131.0,130061146.0,2021-05-03 01:01:00+00:00
Ukraine,2083180,5094.0,44596.0,160.0,1676265,5784.0,362319,177.0,1025.0,9477843.0,217813.0,43513767.0,2021-05-03 01:01:00+00:00
Peru,1810998,6083.0,62126.0,337.0,1688091,,60781,2654.0,1863.0,11269734.0,337883.0,33353981.0,2021-05-03 01:01:00+00:00
Indonesia,1677274,4394.0,45796.0,144.0,1530718,3740.0,100760,,166.0,14703659.0,53287.0,275932862.0,2021-05-03 01:01:00+00:00
Czechia,1634114,1169.0,29343.0,12.0,1555215,45.0,49556,497.0,2736.0,18422238.0,1717599.0,10725578.0,2021-05-03 01:01:00+00:00
South Africa,1584064,1222.0,54417.0,11.0,1507778,1046.0,21869,546.0,908.0,10699021.0,178522.0,59931112.0,2021-05-03 01:01:00+00:00
Netherlands,1507615,5508.0,17172.0,3.0,1270527,7232.0,219916,810.0,1000.0,12274847.0,715045.0,17166540.0,2021-05-03 01:01:00+00:00
Canada,1234181,7146.0,24300.0,39.0,1126138,6859.0,83743,1422.0,639.0,31756698.0,835308.0,38017972.0,2021-05-03 01:01:00+00:00
Chile,1210920,6165.0,26561.0,104.0,1143565,6749.0,40794,3318.0,1380.0,13182710.0,684710.0,19252980.0,2021-05-03 01:01:00+00:00
Iraq,1074930,4564.0,15536.0,38.0,957200,7859.0,102194,578.0,379.0,9408134.0,229629.0,40971011.0,2021-05-03 01:01:00+00:00
Romania,1057655,1083.0,28282.0,88.0,995506,2901.0,33867,1253.0,1478.0,8285525.0,433112.0,19130218.0,2021-05-03 01:01:00+00:00
Philippines,1054983,8346.0,17431.0,77.0,966080,9072.0,71472,750.0,157.0,11901873.0,107423.0,110794784.0,2021-05-03 01:01:00+00:00
Belgium,993434,3205.0,24258.0,28.0,858223,,110953,855.0,2086.0,12586507.0,1082084.0,11631725.0,2021-05-03 01:01:00+00:00
Sweden,973604,,14048.0,,806095,6978.0,153461,392.0,1384.0,8482276.0,835544.0,10151798.0,2021-05-03 01:01:00+00:00
Israel,838554,73.0,6366.0,3.0,830878,253.0,1310,100.0,692.0,14209340.0,1544898.0,9197590.0,2021-05-03 01:01:00+00:00
Portugal,837277,330.0,16977.0,1.0,796721,244.0,23579,85.0,1669.0,10515374.0,1033773.0,10171837.0,2021-05-03 01:01:00+00:00
Pakistan,829933,4414.0,18070.0,113.0,722202,5193.0,89661,5448.0,81.0,11882141.0,52938.0,224453453.0,2021-05-03 01:01:00+00:00
Hungary,782892,1593.0,27802.0,101.0,523510,6484.0,231580,587.0,2884.0,5415983.0,561834.0,9639833.0,2021-05-03 01:01:00+00:00
Bangladesh,761943,1359.0,11579.0,69.0,687328,2657.0,63036,1069.0,70.0,5498979.0,33115.0,166056388.0,2021-05-03 01:01:00+00:00
Jordan,712901,824.0,8897.0,26.0,688519,3509.0,15485,729.0,865.0,6727600.0,653957.0,10287526.0,2021-05-03 01:01:00+00:00
Serbia,691920,989.0,6409.0,23.0,642359,3548.0,43152,153.0,736.0,3853869.0,442571.0,8707919.0,2021-05-03 01:01:00+00:00
Switzerland,659974,,10634.0,1.0,590565,,58775,238.0,1221.0,6911371.0,793735.0,8707402.0,2021-05-03 01:01:00+00:00
Austria,622110,1625.0,10245.0,12.0,589534,2419.0,22331,476.0,1132.0,32383974.0,3578627.0,9049274.0,2021-05-03 01:01:00+00:00
Japan,597225,5836.0,10296.0,67.0,527233,4006.0,59696,1050.0,82.0,11968449.0,94873.0,126152546.0,2021-05-03 01:01:00+00:00
Lebanon,528208,700.0,7324.0,22.0,464660,,56224,560.0,1077.0,4011613.0,589955.0,6799864.0,2021-05-03 01:01:00+00:00
UAE,523795,1847.0,1593.0,2.0,504251,1791.0,17951,,159.0,44517421.0,4456249.0,9989887.0,2021-05-03 01:01:00+00:00
Morocco,511856,294.0,9028.0,2.0,498415,284.0,4413,198.0,242.0,6278157.0,168429.0,37274817.0,2021-05-03 01:01:00+00:00
Saudi Arabia,419348,937.0,6979.0,11.0,402664,1120.0,9705,1351.0,198.0,17031714.0,482968.0,35264673.0,2021-05-03 01:01:00+00:00
Malaysia,415012,3418.0,1533.0,12.0,383140,2698.0,30339,345.0,47.0,9540805.0,291668.0,32711147.0,2021-05-03 01:01:00+00:00
Bulgaria,405194,348.0,16492.0,48.0,340442,553.0,48260,662.0,2389.0,2528642.0,366224.0,6904630.0,2021-05-03 01:01:00+00:00
Ecuador,387299,2710.0,18740.0,16.0,329582,10984.0,38977,617.0,1049.0,1294163.0,72438.0,17865843.0,2021-05-03 01:01:00+00:00
Slovakia,383098,378.0,11766.0,34.0,364242,590.0,7090,310.0,2154.0,2664217.0,487786.0,5461852.0,2021-05-03 01:01:00+00:00
Panama,364844,,6235.0,,354713,,3896,105.0,1426.0,2402739.0,549670.0,4371239.0,2021-05-03 01:01:00+00:00
Belarus,361063,1081.0,2562.0,10.0,351816,1383.0,6685,,271.0,5887035.0,623183.0,9446725.0,2021-05-03 01:01:00+00:00
Greece,346422,,10453.0,,306498,,29471,811.0,1007.0,8165612.0,786635.0,10380439.0,2021-05-03 01:01:00+00:00
