Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,164886821,3418430.0,145020941,16447450,100828.0,438.6,,,,619753,14245.0,835232,-229724,2021-05-19 02:01:00+00:00
USA,33774945,601330.0,27253327,5920288,7747.0,1807.0,468068102.0,1406849.0,332706730.0,27506,797.0,51018,-24309,2021-05-19 02:01:00+00:00
India,25495144,283276.0,21979703,3232165,8944.0,204.0,318292881.0,228675.0,1391901483.0,267174,4525.0,389700,-127051,2021-05-19 02:01:00+00:00
Brazil,15735485,439379.0,14247609,1048497,8318.0,2054.0,47073060.0,220085.0,213885462.0,74379,2517.0,95176,-23314,2021-05-19 02:01:00+00:00
France,5898347,108040.0,5181486,608821,4015.0,1652.0,81932887.0,1252788.0,65400451.0,17210,228.0,29116,-12134,2021-05-19 02:01:00+00:00
Turkey,5139485,45186.0,4971245,123054,2232.0,531.0,51294008.0,602505.0,85134619.0,11937,203.0,10125,1609,2021-05-19 02:01:00+00:00
Russia,4957756,116575.0,4572226,268955,2300.0,799.0,134000000.0,917874.0,145989485.0,8183,364.0,8972,-1153,2021-05-19 02:01:00+00:00
UK,4450392,127691.0,4281947,40754,125.0,1872.0,171398433.0,2513205.0,68199148.0,-2364,7.0,2680,-5051,2021-05-19 02:01:00+00:00
Italy,4167025,124497.0,3727220,315308,1689.0,2062.0,63284455.0,1048040.0,60383611.0,4449,201.0,11831,-7583,2021-05-19 02:01:00+00:00
Spain,3619848,79502.0,3342024,198322,1774.0,1700.0,48928535.0,1046136.0,46770702.0,3988,70.0,8437,-4519,2021-05-19 02:01:00+00:00
Germany,3615896,87148.0,3320300,208448,4015.0,1037.0,58093759.0,691433.0,84019328.0,7604,278.0,19600,-12274,2021-05-19 02:01:00+00:00
Argentina,3371508,71771.0,2992325,307412,5813.0,1575.0,12602579.0,276618.0,45559512.0,35543,744.0,19058,15741,2021-05-19 02:01:00+00:00
Colombia,3144547,82291.0,2947661,114595,6582.0,1602.0,15998997.0,311517.0,51358330.0,13137,482.0,16381,-3726,2021-05-19 02:01:00+00:00
Poland,2856924,71920.0,2609216,175788,1418.0,1902.0,15184082.0,401587.0,37810148.0,1734,245.0,3513,-2024,2021-05-19 02:01:00+00:00
Iran,2779415,77532.0,2258046,443837,5173.0,913.0,18285393.0,215288.0,84934743.0,13930,310.0,16023,-2403,2021-05-19 02:01:00+00:00
Mexico,2385512,220746.0,1905591,259175,4798.0,1696.0,6874702.0,52833.0,130120328.0,2767,257.0,2097,413,2021-05-19 02:01:00+00:00
Ukraine,2160095,48469.0,1882344,229282,177.0,1114.0,9851754.0,226465.0,43502341.0,4095,285.0,17751,-13941,2021-05-19 02:01:00+00:00
Peru,1897900,66770.0,1720665,110465,2655.0,2001.0,12173032.0,364745.0,33374065.0,4566,299.0,0,4267,2021-05-19 02:01:00+00:00
Indonesia,1748230,48477.0,1612239,87514,,176.0,15653438.0,56703.0,276059226.0,4185,172.0,5628,-1615,2021-05-19 02:01:00+00:00
Czechia,1654219,29933.0,1599881,24405,239.0,2791.0,21701619.0,2023189.0,10726444.0,1120,20.0,2950,-1850,2021-05-19 02:01:00+00:00
South Africa,1617840,55340.0,1527968,34532,546.0,923.0,11166950.0,186228.0,59963798.0,2355,80.0,1330,945,2021-05-19 02:01:00+00:00
Netherlands,1606319,17473.0,1386360,202486,649.0,1018.0,13524699.0,787777.0,17168193.0,5326,17.0,8488,-3179,2021-05-19 02:01:00+00:00
Canada,1338141,25018.0,1248382,64741,1344.0,658.0,33668274.0,885252.0,38032423.0,4033,35.0,6882,-2884,2021-05-19 02:01:00+00:00
Chile,1295862,27965.0,1231047,36850,2979.0,1452.0,14043876.0,729168.0,19260145.0,3766,31.0,5201,-1466,2021-05-19 02:01:00+00:00
Philippines,1154388,19372.0,1082725,52291,1819.0,175.0,12694238.0,114508.0,110858550.0,4463,110.0,6297,-1944,2021-05-19 02:01:00+00:00
Iraq,1146948,16029.0,1056885,74034,475.0,391.0,9929858.0,242129.0,41010564.0,4023,34.0,6198,-2209,2021-05-19 02:01:00+00:00
Romania,1072972,29662.0,1027412,15898,716.0,1551.0,8721739.0,456047.0,19124639.0,681,91.0,1113,-523,2021-05-19 02:01:00+00:00
Sweden,1047143,14301.0,899728,133114,306.0,1408.0,9481745.0,933744.0,10154546.0,10017,26.0,2483,7508,2021-05-19 02:01:00+00:00
Belgium,1032895,24723.0,910652,97520,616.0,2125.0,13306670.0,1143782.0,11633925.0,972,14.0,0,958,2021-05-19 02:01:00+00:00
Pakistan,882928,19752.0,795511,67665,4361.0,88.0,12510568.0,55691.0,224641266.0,2566,135.0,2989,-558,2021-05-19 02:01:00+00:00
Portugal,842767,17011.0,803759,21997,66.0,1673.0,11233120.0,1104476.0,10170543.0,386,2.0,568,-184,2021-05-19 02:01:00+00:00
Israel,839167,6392.0,832144,631,60.0,695.0,14487253.0,1575114.0,9197590.0,8,3.0,51,-46,2021-05-19 02:01:00+00:00
Hungary,798955,29277.0,640964,128714,251.0,3037.0,5656131.0,586811.0,9638765.0,382,64.0,9988,-9670,2021-05-19 02:01:00+00:00
Bangladesh,782129,12211.0,724209,45709,1156.0,74.0,5734918.0,34521.0,166128060.0,1272,30.0,1115,127,2021-05-19 02:01:00+00:00
Jordan,726432,9295.0,710445,6692,729.0,903.0,7001979.0,680336.0,10291950.0,1174,19.0,0,1155,2021-05-19 02:01:00+00:00
Serbia,707719,6710.0,681248,19761,86.0,771.0,4030710.0,462960.0,8706388.0,686,14.0,1992,-1320,2021-05-19 02:01:00+00:00
Japan,687825,11591.0,602356,73878,1235.0,92.0,13220299.0,104810.0,126135695.0,4650,83.0,7179,-2612,2021-05-19 02:01:00+00:00
Switzerland,683400,10751.0,621695,50954,174.0,1234.0,7360542.0,845052.0,8710164.0,1240,7.0,0,1233,2021-05-19 02:01:00+00:00
Austria,638155,10499.0,618798,8858,275.0,1160.0,36840818.0,4070127.0,9051516.0,582,19.0,1491,-928,2021-05-19 02:01:00+00:00
UAE,548681,1637.0,528769,18275,,164.0,47264038.0,4728716.0,9995110.0,1270,4.0,1250,16,2021-05-19 02:01:00+00:00
Lebanon,536554,7641.0,502762,26151,305.0,1124.0,4224382.0,621367.0,6798534.0,600,10.0,1890,-1300,2021-05-19 02:01:00+00:00
Morocco,515420,9105.0,503861,2454,112.0,244.0,6396074.0,171504.0,37293938.0,397,1.0,378,18,2021-05-19 02:01:00+00:00
Malaysia,479421,1994.0,432600,44827,531.0,61.0,10663780.0,325818.0,32729274.0,4865,47.0,3497,1321,2021-05-19 02:01:00+00:00
Nepal,472354,5411.0,352414,114529,,183.0,2812959.0,95048.0,29595087.0,8136,196.0,6891,1049,2021-05-19 02:01:00+00:00
Saudi Arabia,435027,7188.0,419761,8078,1384.0,204.0,18106104.0,513090.0,35288391.0,1047,14.0,847,186,2021-05-19 02:01:00+00:00
Bulgaria,415326,17379.0,367464,30483,485.0,2518.0,2698506.0,390954.0,6902357.0,457,36.0,2782,-2361,2021-05-19 02:01:00+00:00
Ecuador,411466,19877.0,354499,37090,599.0,1112.0,1374244.0,76870.0,17877562.0,596,91.0,0,505,2021-05-19 02:01:00+00:00
Slovakia,387892,12248.0,371361,4283,188.0,2242.0,2772844.0,507664.0,5461967.0,233,10.0,371,-148,2021-05-19 02:01:00+00:00
Greece,381266,11534.0,340612,29120,639.0,1111.0,8950025.0,862385.0,10378224.0,2781,63.0,0,2718,2021-05-19 02:01:00+00:00
Belarus,378711,2721.0,368832,7158,,288.0,6113124.0,647125.0,9446589.0,1179,10.0,992,177,2021-05-19 02:01:00+00:00
Panama,371684,6300.0,359848,5536,105.0,1440.0,2537845.0,580184.0,4374210.0,539,3.0,367,169,2021-05-19 02:01:00+00:00
Kazakhstan,362030,4095.0,320241,37694,221.0,216.0,10989671.0,579211.0,18973514.0,1837,22.0,2500,-685,2021-05-19 02:01:00+00:00
Croatia,350997,7765.0,338361,4871,166.0,1902.0,1937595.0,474556.0,4082968.0,491,27.0,886,-422,2021-05-19 02:01:00+00:00
Bolivia,334824,13566.0,273403,47855,200.0,1148.0,1319283.0,111686.0,11812471.0,2257,49.0,1713,495,2021-05-19 02:01:00+00:00
Georgia,332441,4499.0,312349,15593,,1130.0,4621001.0,1160347.0,3982430.0,1562,30.0,1490,42,2021-05-19 02:01:00+00:00
Azerbaijan,330701,4802.0,316439,9460,,470.0,3404046.0,333099.0,10219334.0,432,10.0,1024,-602,2021-05-19 02:01:00+00:00
Tunisia,328528,11971.0,290282,26275,445.0,1004.0,1397361.0,117159.0,11927037.0,1055,72.0,1347,-364,2021-05-19 02:01:00+00:00
Paraguay,318251,7802.0,264326,46123,570.0,1082.0,1206320.0,167328.0,7209303.0,2704,110.0,1990,604,2021-05-19 02:01:00+00:00
Palestine,304074,3437.0,293808,6829,66.0,660.0,1793407.0,344559.0,5204927.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Kuwait,293574,1701.0,279924,11949,182.0,393.0,2477308.0,572674.0,4325862.0,1084,5.0,1100,-21,2021-05-19 02:01:00+00:00
Costa Rica,290920,3673.0,225158,62089,499.0,715.0,1093074.0,212871.0,5134917.0,2294,48.0,804,1442,2021-05-19 02:01:00+00:00
Dominican Republic,278549,3597.0,234370,40582,302.0,329.0,1487136.0,135895.0,10943293.0,630,8.0,272,350,2021-05-19 02:01:00+00:00
Denmark,268255,2503.0,252686,13066,23.0,431.0,47951266.0,8253057.0,5810122.0,916,0.0,1021,-105,2021-05-19 02:01:00+00:00
Ethiopia,267100,4021.0,221451,41628,558.0,34.0,2661450.0,22661.0,117447872.0,454,13.0,809,-368,2021-05-19 02:01:00+00:00
