StateName,TotalConfirmed,TotalRecovered,TotalDeaths,StateCode,UpdatedOn
Andaman and Nicobar,6181,5879,70,35,2021-05-05 08:00:00-05:30
Andhra Pradesh,1184028,1016142,8289,28,2021-05-05 08:00:00-05:30
Arunachal Pradesh,19192,17501,59,12,2021-05-05 08:00:00-05:30
Assam,267925,237088,1430,18,2021-05-05 08:00:00-05:30
Bihar,523841,410484,2926,10,2021-05-05 08:00:00-05:30
Chandigarh,45976,37288,518,4,2021-05-05 08:00:00-05:30
Chhattisgarh,787486,653542,9485,22,2021-05-05 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8174,6564,4,26,2021-05-05 08:00:00-05:30
Delhi,1232942,1124771,17752,7,2021-05-05 08:00:00-05:30
Goa,100902,72799,1372,30,2021-05-05 08:00:00-05:30
Gujarat,620472,464396,7779,24,2021-05-05 08:00:00-05:30
Haryana,543559,429950,4779,6,2021-05-05 08:00:00-05:30
Himachal Pradesh,110945,85713,1660,2,2021-05-05 08:00:00-05:30
Jammu and Kashmir,191869,152109,2458,1,2021-05-05 08:00:00-05:30
Jharkhand,257345,194433,3205,20,2021-05-05 08:00:00-05:30
Karnataka,1690934,1210013,16538,29,2021-05-05 08:00:00-05:30
Kerala,1701979,1339257,5507,32,2021-05-05 08:00:00-05:30
Ladakh,14560,13035,151,37,2021-05-05 08:00:00-05:30
Lakshadweep,3249,2078,6,31,2021-05-05 08:00:00-05:30
Maharashtra,4822902,4107092,71742,27,2021-05-05 08:00:00-05:30
Manipur,32956,30141,424,14,2021-05-05 08:00:00-05:30
Meghalaya,18014,15810,185,17,2021-05-05 08:00:00-05:30
Mizoram,6794,5168,17,15,2021-05-05 08:00:00-05:30
Madhya Pradesh,612666,520024,6003,23,2021-05-05 08:00:00-05:30
Nagaland,14717,12801,118,13,2021-05-05 08:00:00-05:30
Odisha,479752,410227,2088,21,2021-05-05 08:00:00-05:30
Puducherry,63298,51584,865,34,2021-05-05 08:00:00-05:30
Punjab,399556,327976,9645,3,2021-05-05 08:00:00-05:30
Rajasthan,668221,466310,4866,8,2021-05-05 08:00:00-05:30
Sikkim,8698,6617,151,11,2021-05-05 08:00:00-05:30
Tamil Nadu,1249292,1109450,14612,33,2021-05-05 08:00:00-05:30
Telengana,469722,389491,2527,36,2021-05-05 08:00:00-05:30
Tripura,36234,33929,400,16,2021-05-05 08:00:00-05:30
Uttar Pradesh,1368183,1081817,13798,9,2021-05-05 08:00:00-05:30
Uttarakhand,204051,144409,3015,5,2021-05-05 08:00:00-05:30
West Bengal,898533,765843,11744,19,2021-05-05 08:00:00-05:30
