StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6638,6329,89,220,35,1,46,-12,35,2021-05-18 08:00:00-05:30
Andhra Pradesh,1454052,1233017,9481,211554,18561,109,17334,1118,28,2021-05-18 08:00:00-05:30
Arunachal Pradesh,22106,19675,85,2346,304,4,214,86,12,2021-05-18 08:00:00-05:30
Assam,335023,286463,2271,46289,6394,92,4737,1565,18,2021-05-18 08:00:00-05:30
Bihar,657829,584203,3928,69698,5920,96,11216,-5392,10,2021-05-18 08:00:00-05:30
Chandigarh,55987,47964,641,7382,620,6,876,-262,4,2021-05-18 08:00:00-05:30
Chhattisgarh,919054,811015,11883,96156,6577,149,13865,-7437,22,2021-05-18 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9599,8845,4,750,49,0,100,-51,26,2021-05-18 08:00:00-05:30
Delhi,1398391,1320496,21846,56049,4524,340,10918,-6734,7,2021-05-18 08:00:00-05:30
Goa,137418,109513,2152,25753,1562,53,4008,-2499,30,2021-05-18 08:00:00-05:30
Gujarat,759754,650932,9202,99620,7135,81,12342,-5288,24,2021-05-18 08:00:00-05:30
Haryana,701915,611955,6799,83161,7488,114,14279,-6905,6,2021-05-18 08:00:00-05:30
Himachal Pradesh,163786,124771,2382,36633,3546,58,3764,-276,2,2021-05-18 08:00:00-05:30
Jammu and Kashmir,247952,193878,3222,50852,3344,73,4042,-771,1,2021-05-18 08:00:00-05:30
Jharkhand,318009,279946,4539,33524,2507,60,5463,-3016,20,2021-05-18 08:00:00-05:30
Karnataka,2242065,1616092,22313,603660,38603,476,34635,3492,29,2021-05-18 08:00:00-05:30
Kerala,2169369,1800179,6515,362675,21402,87,99651,-78336,32,2021-05-18 08:00:00-05:30
Ladakh,16582,14875,165,1542,130,0,134,-4,37,2021-05-18 08:00:00-05:30
Lakshadweep,4986,3764,14,1208,219,0,131,88,31,2021-05-18 08:00:00-05:30
Maharashtra,5405068,4874582,82486,448000,26616,1000,48211,-22595,27,2021-05-18 08:00:00-05:30
Manipur,40059,33129,592,6338,330,14,455,-139,14,2021-05-18 08:00:00-05:30
Meghalaya,23966,18715,336,4915,634,16,237,381,17,2021-05-18 08:00:00-05:30
Mizoram,9068,6932,28,2108,239,3,245,-9,15,2021-05-18 08:00:00-05:30
Madhya Pradesh,737306,641254,7069,88983,5921,77,11513,-5669,23,2021-05-18 08:00:00-05:30
Nagaland,18349,13880,216,4253,273,7,113,153,13,2021-05-18 08:00:00-05:30
Odisha,622981,526353,2335,94293,10757,22,11821,-1086,21,2021-05-18 08:00:00-05:30
Puducherry,85952,67390,1179,17383,1446,28,1701,-283,34,2021-05-18 08:00:00-05:30
Punjab,504586,418884,12086,73616,6881,191,8552,-1862,3,2021-05-18 08:00:00-05:30
Rajasthan,871266,687969,6934,176363,11597,157,29459,-18019,8,2021-05-18 08:00:00-05:30
Sikkim,11480,8333,210,2937,70,5,224,-159,11,2021-05-18 08:00:00-05:30
Tamil Nadu,1631291,1381690,18005,231596,33075,335,20486,12254,33,2021-05-18 08:00:00-05:30
Telengana,532784,480458,2985,49341,3961,30,5559,-1628,36,2021-05-18 08:00:00-05:30
Tripura,41897,36085,445,5367,746,4,269,473,16,2021-05-18 08:00:00-05:30
Uttar Pradesh,1628990,1462141,17817,149032,9345,271,23045,-13971,9,2021-05-18 08:00:00-05:30
Uttarakhand,291005,207363,5034,78608,3719,223,3690,-194,5,2021-05-18 08:00:00-05:30
West Bengal,1152433,1007442,13431,131560,19003,147,19101,-245,19,2021-05-18 08:00:00-05:30
